================================================================================
PRODUCTION TRAINING RUN - 50,000 EPOCHS
Started: 2025-12-28T23:14:55.230
================================================================================

1. Loading HankNN...
Loading HankNN code via include()...
✓ All HankNN code loaded!
✓ You can now use all functions directly
✓ Modify any .jl file and run: include("load_hank.jl") to reload
✓ Random seed: 1234
✓ Parameters and config defined
✓ Helper functions defined

================================================================================
TRAINING WITH 50000 EPOCHS
================================================================================

--------------------------------------------------------------------------------
1. TRAIN_SIMPLE! (baseline)
--------------------------------------------------------------------------------
Epoch 12600, Loss: 5.272058589392609e-5, res_X: 4.4771890403166795e-5, res_π: 7.948695490759296e-6
Epoch 12700, Loss: 0.00020819657690064765, res_X: 0.00019070204507158064, res_π: 1.7494531829067024e-5
Epoch 12800, Loss: 7.232770579037761e-5, res_X: 5.6094962150634374e-5, res_π: 1.6232743639743235e-5
Epoch 12900, Loss: 2.7705562482555663e-5, res_X: 2.267543779724964e-5, res_π: 5.030124685306023e-6
Epoch 13000, Loss: 3.303387575719597e-5, res_X: 2.551667020903494e-5, res_π: 7.51720554816103e-6
Epoch 13100, Loss: 2.3578378452253944e-5, res_X: 2.018993218640648e-5, res_π: 3.3884462658474662e-6
Epoch 13200, Loss: 7.127260155292625e-5, res_X: 6.621396026565e-5, res_π: 5.058641287276261e-6
Epoch 13300, Loss: 6.771233020215395e-5, res_X: 6.234814984210236e-5, res_π: 5.364180360051602e-6
Epoch 13400, Loss: 7.18739555188449e-5, res_X: 6.592351793644713e-5, res_π: 5.950437582397761e-6
Epoch 13500, Loss: 7.101179483239513e-5, res_X: 5.968830022296666e-5, res_π: 1.1323494609428469e-5
Epoch 13600, Loss: 2.6573756689880037e-5, res_X: 2.3636782726525666e-5, res_π: 2.936973963354373e-6
Epoch 13700, Loss: 2.4859548688220232e-5, res_X: 2.0536839297225596e-5, res_π: 4.3227093909946374e-6
Epoch 13800, Loss: 3.9213402365135526e-5, res_X: 2.8754172468280705e-5, res_π: 1.0459229896854823e-5
Epoch 13900, Loss: 5.5613188822429464e-5, res_X: 4.131112921109537e-5, res_π: 1.4302059611334098e-5
Epoch 14000, Loss: 6.095853110685748e-5, res_X: 5.35142278497596e-5, res_π: 7.444303257097887e-6
Epoch 14100, Loss: 4.677493714115781e-5, res_X: 3.522149781852165e-5, res_π: 1.155343932263616e-5
Epoch 14200, Loss: 8.602402303022617e-5, res_X: 4.111864071156494e-5, res_π: 4.490538231866122e-5
Epoch 14300, Loss: 0.00010211934904957482, res_X: 9.23139148927952e-5, res_π: 9.805434156779623e-6
Epoch 14400, Loss: 3.450693745978141e-5, res_X: 2.5779318567920427e-5, res_π: 8.727618891860984e-6
Epoch 14500, Loss: 3.66705483783906e-5, res_X: 2.5906946995802e-5, res_π: 1.0763601382588605e-5
Epoch 14600, Loss: 4.066666228262074e-5, res_X: 3.7809288980065704e-5, res_π: 2.857373302555033e-6
Epoch 14700, Loss: 2.4415791109467766e-5, res_X: 2.1053784986160468e-5, res_π: 3.3620061233072985e-6
Epoch 14800, Loss: 6.0655180693706235e-5, res_X: 5.172219736037109e-5, res_π: 8.932983333335147e-6
Epoch 14900, Loss: 2.6654182695889612e-5, res_X: 2.163143375031121e-5, res_π: 5.022748945578405e-6
Epoch 15000, Loss: 4.5950493758655455e-5, res_X: 3.981811530736405e-5, res_π: 6.132378451291401e-6
Epoch 15100, Loss: 4.859512885009762e-5, res_X: 4.10466070149982e-5, res_π: 7.5485218350994225e-6
Epoch 15200, Loss: 3.4459793643478495e-5, res_X: 3.0050225026570408e-5, res_π: 4.409568616908089e-6
Epoch 15300, Loss: 3.857304338785038e-5, res_X: 3.146964487087068e-5, res_π: 7.1033985169796975e-6
Epoch 15400, Loss: 6.32212295974268e-5, res_X: 5.74228758994703e-5, res_π: 5.798353697956501e-6
Epoch 15500, Loss: 0.00010565418595884804, res_X: 9.474049593953865e-5, res_π: 1.0913690019309381e-5
Epoch 15600, Loss: 6.226983451498993e-5, res_X: 5.339782738493017e-5, res_π: 8.872007130059761e-6
Epoch 15700, Loss: 3.3794669453283446e-5, res_X: 2.7046660072336604e-5, res_π: 6.748009380946843e-6
Epoch 15800, Loss: 4.0703097198466526e-5, res_X: 3.70453229632542e-5, res_π: 3.657774235212325e-6
Epoch 15900, Loss: 0.00013383537108890617, res_X: 0.0001285281897518428, res_π: 5.307181337063358e-6
Epoch 16000, Loss: 4.865578571500079e-5, res_X: 4.262444082501484e-5, res_π: 6.031344889985945e-6
Epoch 16100, Loss: 0.00011425765155272907, res_X: 0.00010574576640392788, res_π: 8.51188514880119e-6
Epoch 16200, Loss: 3.474682711257435e-5, res_X: 2.6361785550520063e-5, res_π: 8.385041562054285e-6
Epoch 16300, Loss: 2.190473795992251e-5, res_X: 1.5244942865372053e-5, res_π: 6.659795094550457e-6
Epoch 16400, Loss: 3.3403999632552114e-5, res_X: 2.858394671183724e-5, res_π: 4.820052920714873e-6
Epoch 16500, Loss: 4.837477946101378e-5, res_X: 3.45719602235242e-5, res_π: 1.3802819237489583e-5
Epoch 16600, Loss: 2.646087261859811e-5, res_X: 2.215372625656459e-5, res_π: 4.307146362033516e-6
Epoch 16700, Loss: 0.0002532317541965076, res_X: 0.0002431717909107031, res_π: 1.0059963285804457e-5
Epoch 16800, Loss: 2.7871497442373213e-5, res_X: 2.343707837189092e-5, res_π: 4.434419070482296e-6
Epoch 16900, Loss: 2.7005343214986315e-5, res_X: 2.2256315784664675e-5, res_π: 4.749027430321638e-6
Epoch 17000, Loss: 6.937718823381129e-5, res_X: 5.742115921936789e-5, res_π: 1.1956029014443402e-5
Epoch 17100, Loss: 6.851382049575485e-5, res_X: 5.722369276801016e-5, res_π: 1.1290127727744685e-5
Epoch 17200, Loss: 8.697657862986088e-5, res_X: 7.160877941578646e-5, res_π: 1.536779921407441e-5
Epoch 17300, Loss: 5.2646443060205295e-5, res_X: 4.722541567081942e-5, res_π: 5.421027389385873e-6
Epoch 17400, Loss: 6.649163238045624e-5, res_X: 6.0312044323781185e-5, res_π: 6.179588056675057e-6
Epoch 17500, Loss: 2.2919819078265183e-5, res_X: 1.958272145845897e-5, res_π: 3.3370976198062133e-6
Epoch 17600, Loss: 2.758144726448649e-5, res_X: 2.055622672742591e-5, res_π: 7.02522053706058e-6
Epoch 17700, Loss: 2.5424714001051208e-5, res_X: 2.1112258332495116e-5, res_π: 4.3124556685560936e-6
Epoch 17800, Loss: 2.567927069026746e-5, res_X: 2.0046127114842246e-5, res_π: 5.633143575425214e-6
Epoch 17900, Loss: 2.057640817916802e-5, res_X: 1.7636601070139613e-5, res_π: 2.939807109028407e-6
Epoch 18000, Loss: 5.163720135667082e-5, res_X: 4.249341747503138e-5, res_π: 9.143783881639443e-6
Epoch 18100, Loss: 2.2786178848249417e-5, res_X: 1.8712841102847994e-5, res_π: 4.073337745401423e-6
Epoch 18200, Loss: 2.6592034462304977e-5, res_X: 2.136891667575379e-5, res_π: 5.223117786551189e-6
Epoch 18300, Loss: 3.967752106574484e-5, res_X: 3.0336980268830835e-5, res_π: 9.340540796914002e-6
Epoch 18400, Loss: 4.039779325911734e-5, res_X: 3.221278756224594e-5, res_π: 8.185005696871403e-6
Epoch 18500, Loss: 6.635239421162143e-5, res_X: 6.337324799898927e-5, res_π: 2.97914621263216e-6
Epoch 18600, Loss: 2.0527133531626805e-5, res_X: 1.752201213705461e-5, res_π: 3.0051213945721946e-6
Epoch 18700, Loss: 8.327696935299455e-5, res_X: 6.58211516625329e-5, res_π: 1.745581769046166e-5
Epoch 18800, Loss: 1.8947991629270146e-5, res_X: 1.5421087648216132e-5, res_π: 3.5269039810540144e-6
Epoch 18900, Loss: 6.739960830701287e-5, res_X: 5.906610721486182e-5, res_π: 8.333501092151056e-6
Epoch 19000, Loss: 6.241648205250839e-5, res_X: 5.639826214029475e-5, res_π: 6.018219912213637e-6
Epoch 19100, Loss: 3.103305265457393e-5, res_X: 1.802274374275736e-5, res_π: 1.3010308911816572e-5
Epoch 19200, Loss: 3.9247243646380685e-5, res_X: 3.477889575567604e-5, res_π: 4.4683478907046475e-6
Epoch 19300, Loss: 4.1823505893788973e-5, res_X: 3.5634219552420005e-5, res_π: 6.18928634136897e-6
Epoch 19400, Loss: 4.024324531964419e-5, res_X: 2.8278149629042242e-5, res_π: 1.1965095690601948e-5
Epoch 19500, Loss: 1.4260264018811573e-5, res_X: 1.2567483580337852e-5, res_π: 1.6927804384737204e-6
Epoch 19600, Loss: 5.7164024009574836e-5, res_X: 4.2210544425502656e-5, res_π: 1.4953479584072181e-5
Epoch 19700, Loss: 3.5076681025843575e-5, res_X: 2.846576302546909e-5, res_π: 6.6109180003744815e-6
Epoch 19800, Loss: 6.902452029113203e-5, res_X: 6.160938191845811e-5, res_π: 7.415138372673929e-6
Epoch 19900, Loss: 1.9737956422979427e-5, res_X: 1.4830165493230577e-5, res_π: 4.90779092974885e-6
Epoch 20000, Loss: 6.0410656854683444e-5, res_X: 5.354575791177955e-5, res_π: 6.864898942903894e-6
Epoch 20100, Loss: 3.1075639743797586e-5, res_X: 2.5375716558288908e-5, res_π: 5.6999231855086755e-6
Epoch 20200, Loss: 3.4822634736222336e-5, res_X: 2.8698523609660464e-5, res_π: 6.124111126561871e-6
Epoch 20300, Loss: 4.861777709646427e-5, res_X: 4.609186486211573e-5, res_π: 2.525912234348541e-6
Epoch 20400, Loss: 1.455770717364457e-5, res_X: 1.3061702017943318e-5, res_π: 1.496005155701251e-6
Epoch 20500, Loss: 5.1270864258985743e-5, res_X: 4.759930017954248e-5, res_π: 3.6715640794432637e-6
Epoch 20600, Loss: 4.430115532745854e-5, res_X: 4.180925789269068e-5, res_π: 2.4918974347678574e-6
Epoch 20700, Loss: 5.216569492377534e-5, res_X: 4.4150837513539324e-5, res_π: 8.014857410236018e-6
Epoch 20800, Loss: 5.3737472790482326e-5, res_X: 4.804782461600298e-5, res_π: 5.6896481744793454e-6
Epoch 20900, Loss: 3.2392639911677396e-5, res_X: 2.950678921603496e-5, res_π: 2.8858506956424323e-6
Epoch 21000, Loss: 2.1827998375378154e-5, res_X: 1.7224344235726736e-5, res_π: 4.6036541396514186e-6
Epoch 21100, Loss: 6.109672053310848e-5, res_X: 5.4049418314883164e-5, res_π: 7.047302218225316e-6
Epoch 21200, Loss: 2.2284339884763694e-5, res_X: 1.8309820207709653e-5, res_π: 3.9745196770540415e-6
Epoch 21300, Loss: 1.694715399926269e-5, res_X: 1.5084014365778288e-5, res_π: 1.8631396334844007e-6
Epoch 21400, Loss: 5.623819237147868e-5, res_X: 4.739478792220573e-5, res_π: 8.843404449272943e-6
Epoch 21500, Loss: 4.711345826048432e-5, res_X: 4.150020851790574e-5, res_π: 5.6132497425785795e-6
Epoch 21600, Loss: 2.627377472105697e-5, res_X: 1.9317129406376282e-5, res_π: 6.956645314680689e-6
Epoch 21700, Loss: 0.0001965476319648268, res_X: 0.00017891908361437436, res_π: 1.7628548350452445e-5
Epoch 21800, Loss: 5.149618064476375e-5, res_X: 4.981751153595682e-5, res_π: 1.6786691088069252e-6
Epoch 21900, Loss: 3.0695025272431497e-5, res_X: 2.188707053277059e-5, res_π: 8.80795473966091e-6
Epoch 22000, Loss: 2.043053983499843e-5, res_X: 1.809530362759112e-5, res_π: 2.3352362074073083e-6
Epoch 22100, Loss: 2.9957597547201703e-5, res_X: 2.4068550212780597e-5, res_π: 5.8890473344211065e-6
Epoch 22200, Loss: 2.2108644328694802e-5, res_X: 1.6994423715385176e-5, res_π: 5.114220613309625e-6
Epoch 22300, Loss: 2.007419604843664e-5, res_X: 1.643582564356896e-5, res_π: 3.638370404867682e-6
Epoch 22400, Loss: 2.623409709440509e-5, res_X: 2.1370401070029954e-5, res_π: 4.863696024375136e-6
Epoch 22500, Loss: 6.398045108306758e-5, res_X: 5.401649388560606e-5, res_π: 9.963957197461522e-6
Epoch 22600, Loss: 2.437577894439316e-5, res_X: 2.0416647317898308e-5, res_π: 3.959131626494854e-6
Epoch 22700, Loss: 4.401328204146191e-5, res_X: 3.3603467705535843e-5, res_π: 1.0409814335926064e-5
Epoch 22800, Loss: 1.374333934843477e-5, res_X: 1.0229236019885009e-5, res_π: 3.514103328549762e-6
Epoch 22900, Loss: 2.3742608649110977e-5, res_X: 1.9535783044656675e-5, res_π: 4.206825604454302e-6
Epoch 23000, Loss: 2.161705237952265e-5, res_X: 1.8533872108389008e-5, res_π: 3.0831802711336416e-6
Epoch 23100, Loss: 3.9187914540240185e-5, res_X: 3.45258920289467e-5, res_π: 4.662022511293488e-6
